Pesquisador_link,Title,Pub_Link,Nro_Autores,Data,Nro_Citations,Year
/pt/pesquisador/890/fernando-cendes/,Is inpatient ictal video-electroencephalographic monitoring mandatory in mesial temporal lobe epilepsy with unilateral hippocampal sclerosis? A prospective study,/pt/publicacao/146905/is-inpatient-ictal-video-electroencephalographic-monitoring/,9,FEB 2018,6,2018
/pt/pesquisador/890/fernando-cendes/,Potential for stem cell treatment in manganism,/pt/publicacao/147009/potential-for-stem-cell-treatment-in-manganism/,3,JAN 2018,1,2018
/pt/pesquisador/890/fernando-cendes/,Cognitive trajectories in relapsing-remitting multiple sclerosis: A longitudinal 6-year study,/pt/publicacao/174935/cognitive-trajectories-in-relapsing-remitting-multiple-scler/,4,OCT 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Neuropsychological and neuroimaging evidences of cerebral dysfunction in stroke-free patients with atrial fibrillation: A review,/pt/publicacao/165124/neuropsychological-and-neuroimaging-evidences-of-cerebral-dy/,3,APR 15 2019,2,2019
/pt/pesquisador/890/fernando-cendes/,Distribution of local ancestry and evidence of adaptation in admixed populations,/pt/publicacao/171681/distribution-of-local-ancestry-and-evidence-of-adaptation-in/,10,SEP 25 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,High-resolution notch filters and diplexers based on SU-8 inverted rib waveguides,/pt/publicacao/171699/high-resolution-notch-filters-and-diplexers-based-on-su-8-in/,8,SEP 20 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Test-retest reproducibility of a multi-atlas automated segmentation tool on multimodality brain MRI,/pt/publicacao/172356/test-retest-reproducibility-of-a-multi-atlas-automated-segme/,10,OCT 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Changes of functional response in sensorimotor cortex of preterm and full-term infants during the first year: An fNIRS study,/pt/publicacao/166970/changes-of-functional-response-in-sensorimotor-cortex-of-pre/,7,JUN 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,Space-time recurrences for functional connectivity evaluation and feature extraction in motor imagery brain-computer interfaces,/pt/publicacao/168630/space-time-recurrences-for-functional-connectivity-evaluatio/,5,AUG 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,A comparison between different reference genes for expression studies in human hippocampal tissue,/pt/publicacao/55400/a-comparison-between-different-reference-genes-for-expressio/,10,JUN 30 2012,8,2012
/pt/pesquisador/890/fernando-cendes/,Comparison of conventional MRI and 3D reconstruction model for evaluation of temporomandibular joint,/pt/publicacao/39270/comparison-of-conventional-mri-and-3d-reconstruction-model-f/,5,NOV 2008,15,2008
/pt/pesquisador/890/fernando-cendes/,Voxel-based morphometry and epilepsy,/pt/publicacao/33279/voxel-based-morphometry-and-epilepsy/,3,JUN 2010,23,2010
/pt/pesquisador/890/fernando-cendes/,Lithium carbonate and coenzyme Q10 reduce cell death in a cell model of Machado-Joseph disease,/pt/publicacao/122810/lithium-carbonate-and-coenzyme-q10-reduce-cell-death-in-a-ce/,5,2016,2,2016
/pt/pesquisador/890/fernando-cendes/,Is cerebral microbleed prevalence relevant as a biomarker in amnestic mild cognitive impairment and mild Alzheimer's disease?,/pt/publicacao/141205/is-cerebral-microbleed-prevalence-relevant-as-a-biomarker-in/,10,OCT 2017,2,2017
/pt/pesquisador/890/fernando-cendes/,Modified Beer-Lambert law for blood flow,/pt/publicacao/116364/modified-beer-lambert-law-for-blood-flow/,6,NOV 1 2014,48,2014
/pt/pesquisador/890/fernando-cendes/,3T MRI Quantification of Hippocampal Volume and Signal in Mesial Temporal Lobe Epilepsy Improves Detection of Hippocampal Sclerosis,/pt/publicacao/116656/3t-mri-quantification-of-hippocampal-volume-and-signal-in-me/,5,JAN 2014,61,2014
/pt/pesquisador/890/fernando-cendes/,Investigation of NAA and NAAG dynamics underlying visual stimulation using MEGA-PRESS in a functional MRS experiment,/pt/publicacao/117166/investigation-of-naa-and-naag-dynamics-underlying-visual-sti/,6,APR 2016,14,2016
/pt/pesquisador/890/fernando-cendes/,Indomethacin treatment prior to pentylenetetrazole-induced seizures downregulates the expression of il1b and cox2 and decreases seizure-like behavior in zebrafish larvae,/pt/publicacao/117187/indomethacin-treatment-prior-to-pentylenetetrazole-induced-s/,3,MAR 9 2016,6,2016
/pt/pesquisador/890/fernando-cendes/,Pattern of Reduced Functional Connectivity and Structural Abnormalities in Parkinson's Disease: An Exploratory Study,/pt/publicacao/126581/pattern-of-reduced-functional-connectivity-and-structural-ab/,10,JAN 13 2017,6,2017
/pt/pesquisador/890/fernando-cendes/,Hyperspectral Data Classification Using Extended Extinction Profiles,/pt/publicacao/125800/hyperspectral-data-classification-using-extended-extinction/,6,NOV 2016,26,2016
/pt/pesquisador/890/fernando-cendes/,Cognitive Reserve Relates to Functional Network Efficiency in Alzheimer's Disease,/pt/publicacao/150852/cognitive-reserve-relates-to-functional-network-efficiency-i/,10,AUG 21 2018,2,2018
/pt/pesquisador/890/fernando-cendes/,Is Diffusion Tensor Imaging a Good Biomarker for Early Parkinson's Disease?,/pt/publicacao/150855/is-diffusion-tensor-imaging-a-good-biomarker-for-early-parki/,8,AUG 21 2018,4,2018
/pt/pesquisador/890/fernando-cendes/,Quantifying the pattern of optic tract degeneration in human hemianopia,/pt/publicacao/94013/quantifying-the-pattern-of-optic-tract-degeneration-in-human/,9,APR 2014,10,2014
/pt/pesquisador/890/fernando-cendes/,Pattern changes of EEG oscillations and BOLD signals associated with temporal lobe epilepsy as revealed by a working memory task,/pt/publicacao/94425/pattern-changes-of-eeg-oscillations-and-bold-signals-associa/,10,APR 25 2014,3,2014
/pt/pesquisador/890/fernando-cendes/,Understanding the spectrum of temporal lobe epilepsy: contributions for the development of individualized therapies,/pt/publicacao/88449/understanding-the-spectrum-of-temporal-lobe-epilepsy-contrib/,2,DEC 2013,10,2013
/pt/pesquisador/890/fernando-cendes/,Depressive disorders in patients with pharmaco-resistant mesial temporal lobe epilepsy,/pt/publicacao/146821/depressive-disorders-in-patients-with-pharmaco-resistant-mes/,4,FEB 2018,0,2018
/pt/pesquisador/890/fernando-cendes/,Can graph metrics be used for EEG-BCIs based on hand motor imagery?,/pt/publicacao/147646/can-graph-metrics-be-used-for-eeg-bcis-based-on-hand-motor-i/,3,FEB 2018,8,2018
/pt/pesquisador/890/fernando-cendes/,Asymmetrical hippocampal connectivity in mesial temporal lobe epilepsy: evidence from resting state fMRI,/pt/publicacao/33019/asymmetrical-hippocampal-connectivity-in-mesial-temporal-lob/,10,JUN 2 2010,117,2010
/pt/pesquisador/890/fernando-cendes/,Interactive Curvilinear Reformatting in Native Space,/pt/publicacao/53334/interactive-curvilinear-reformatting-in-native-space/,3,FEB 2012,4,2012
/pt/pesquisador/890/fernando-cendes/,"Coordinated and circumlocutory semantic naming errors are related to anterolateral temporal lobes in mild AD, amnestic mild cognitive impairment, and normal aging",/pt/publicacao/31090/coordinated-and-circumlocutory-semantic-naming-errors-are-re/,6,NOV 2010,6,2010
/pt/pesquisador/890/fernando-cendes/,Neuroimaging changes in mesial temporal lobe epilepsy are magnified in the presence of depression,/pt/publicacao/31285/neuroimaging-changes-in-mesial-temporal-lobe-epilepsy-are-ma/,3,NOV 2010,22,2010
/pt/pesquisador/890/fernando-cendes/,"Postcraniotomy Temporalis Muscle Atrophy: A Clinical, Magnetic Resonance Imaging Volumetry and Electromyographic Investigation",/pt/publicacao/32055/postcraniotomy-temporalis-muscle-atrophy-a-clinical-magnetic/,8,FAL 2010,18,2010
/pt/pesquisador/890/fernando-cendes/,Optical hijacking: failure mode in photonic subsystems with integrated resonators,/pt/publicacao/164365/optical-hijacking-failure-mode-in-photonic-subsystems-with/,2,JAN 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Autonomic dysfunction in hereditary spastic paraplegia type 4,/pt/publicacao/162946/autonomic-dysfunction-in-hereditary-spastic-paraplegia-type/,10,APR 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,iamxt: Max-tree toolbox for image processing and analysis,/pt/publicacao/163102/iamxt-max-tree-toolbox-for-image-processing-and-analysis/,4,2017,0,2017
/pt/pesquisador/890/fernando-cendes/,Differences in Cortical Structure and Functional MRI Connectivity in High Functioning Autism,/pt/publicacao/149390/differences-in-cortical-structure-and-functional-mri-connect/,10,JUL 10 2018,3,2018
/pt/pesquisador/890/fernando-cendes/,The effects of antiepileptic drugs on cognitive functional magnetic resonance imaging,/pt/publicacao/133898/the-effects-of-antiepileptic-drugs-on-cognitive-functional-m/,3,APR 2015,9,2015
/pt/pesquisador/890/fernando-cendes/,Exploratory structural assessment in craniocervical dystonia: Global and differential analyses,/pt/publicacao/134372/exploratory-structural-assessment-in-craniocervical-dystonia/,10,AUG 22 2017,1,2017
/pt/pesquisador/890/fernando-cendes/,Toward a Multimodal Diagnostic Exploratory Visualization of Focal Cortical Dysplasia,/pt/publicacao/147950/toward-a-multimodal-diagnostic-exploratory-visualization-of/,9,MAY-JUN 2018,0,2018
/pt/pesquisador/890/fernando-cendes/,Olfactory function in systemic lupus erythematosus and systemic sclerosis. A longitudinal study and review of the literature,/pt/publicacao/143534/olfactory-function-in-systemic-lupus-erythematosus-and-syste/,10,APR 2018,3,2018
/pt/pesquisador/890/fernando-cendes/,Genome-wide association study identifies genetic factors that modify age at onset in Machado-Joseph disease,/pt/publicacao/178080/genome-wide-association-study-identifies-genetic-factors-tha/,10,MAR 31 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Methodological differences can affect sequencing depth with a possible impact on the accuracy of genetic diagnosis,/pt/publicacao/178811/methodological-differences-can-affect-sequencing-depth-with/,4, 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Cyclooxygenase-1 as a Potential Therapeutic Target for Seizure Suppression: Evidences from Zebrafish Pentylenetetrazole-Seizure Model,/pt/publicacao/124644/cyclooxygenase-1-as-a-potential-therapeutic-target-for-seizu/,4,NOV 15 2016,7,2016
/pt/pesquisador/890/fernando-cendes/,Effects of task complexity on activation of language areas in a semantic decision fMRI protocol,/pt/publicacao/116139/effects-of-task-complexity-on-activation-of-language-areas-i/,6,JAN 29 2016,8,2016
/pt/pesquisador/890/fernando-cendes/,Progression of gray matter atrophy in seizure-free patients with temporal lobe epilepsy,/pt/publicacao/118434/progression-of-gray-matter-atrophy-in-seizure-free-patients/,7,APR 2016,14,2016
/pt/pesquisador/890/fernando-cendes/,The Clinical Impact of Cerebellar Grey Matter Pathology in Multiple Sclerosis,/pt/publicacao/94970/the-clinical-impact-of-cerebellar-grey-matter-pathology-in-m/,3,MAY 2 2014,26,2014
/pt/pesquisador/890/fernando-cendes/,Neuropsychiatric Symptoms in Alzheimer's Disease Are Related to Functional Connectivity Alterations in the Salience Network,/pt/publicacao/95301/neuropsychiatric-symptoms-in-alzheimers-disease-are-related-/,10,APR 2014,64,2014
/pt/pesquisador/890/fernando-cendes/,Effect of treadmill gait on bone markers and bone mineral density of quadriplegic subjects,/pt/publicacao/95676/effect-of-treadmill-gait-on-bone-markers-and-bone-mineral-de/,6,Out. 2006,0,2006
/pt/pesquisador/890/fernando-cendes/,Patterns of seizure control in patients with mesial temporal lobe epilepsy with and without hippocampus sclerosis,/pt/publicacao/106607/patterns-of-seizure-control-in-patients-with-mesial-temporal/,8,FEB 2015,7,2015
/pt/pesquisador/890/fernando-cendes/,Striatal and extrastriatal atrophy in Huntington's disease and its relationship with length of the CAG repeat,/pt/publicacao/95897/striatal-and-extrastriatal-atrophy-in-huntingtons-disease-a/,5,Ago. 2006,0,2006
/pt/pesquisador/890/fernando-cendes/,Object delineation by kappa-connected components,/pt/publicacao/54820/object-delineation-by-kappa-connected-components/,4,2008,7,2008
/pt/pesquisador/890/fernando-cendes/,Frequent Seizures Are Associated with a Network of Gray Matter Atrophy in Temporal Lobe Epilepsy with or without Hippocampal Sclerosis,/pt/publicacao/92397/frequent-seizures-are-associated-with-a-network-of-gray-matt/,7,JAN 27 2014,30,2014
/pt/pesquisador/890/fernando-cendes/,Memory impairment is not necessarily related to seizure frequency in mesial temporal lobe epilepsy with hippocampal sclerosis,/pt/publicacao/100710/memory-impairment-is-not-necessarily-related-to-seizure-freq/,9,AUG 2014,12,2014
/pt/pesquisador/890/fernando-cendes/,White matter abnormalities associate with type and localization of focal epileptogenic lesions,/pt/publicacao/104873/white-matter-abnormalities-associate-with-type-and-localizat/,9,JAN 2015,20,2015
/pt/pesquisador/890/fernando-cendes/,Subclinical MRI disease activity influences cognitive performance in MS patients,/pt/publicacao/106108/subclinical-mri-disease-activity-influences-cognitive-perfor/,3,MAR 2015,8,2015
/pt/pesquisador/890/fernando-cendes/,MicroRNA regulation and dysregulation in epilepsy,/pt/publicacao/89274/microrna-regulation-and-dysregulation-in-epilepsy/,4,OCT 4 2013,31,2013
/pt/pesquisador/890/fernando-cendes/,Epilepsy as progressive disorders: What is the evidence that can guide our clinical decisions and how can neuroimaging help?,/pt/publicacao/70183/epilepsy-as-progressive-disorders-what-is-the-evidence-that-/,2,MAR 2013,13,2013
/pt/pesquisador/890/fernando-cendes/,Comparison of auditory event-related potentials between children with benign childhood epilepsy with centrotemporal spikes and children with temporal lobe epilepsy,/pt/publicacao/120238/comparison-of-auditory-event-related-potentials-between-chil/,7,JUN 2016,3,2016
/pt/pesquisador/890/fernando-cendes/,EEG-fMRI in the presurgical evaluation of temporal lobe epilepsy,/pt/publicacao/120255/eeg-fmri-in-the-presurgical-evaluation-of-temporal-lobe-epil/,10,JUN 2016,7,2016
/pt/pesquisador/890/fernando-cendes/,Interactive patient-customized curvilinear reformatting for improving neurosurgical planning,/pt/publicacao/167229/interactive-patient-customized-curvilinear-reformatting-for/,6,MAY 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Fractional anisotropy of the optic radiations correlates with the visual field after epilepsy surgery,/pt/publicacao/173078/fractional-anisotropy-of-the-optic-radiations-correlates-wit/,10,DEC 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Beyond the target area: an integrative view of tDCS-induced motor cortex modulation in patients and athletes,/pt/publicacao/173389/beyond-the-target-area-an-integrative-view-of-tdcs-induced/,10,NOV 15 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,A framework for quality control of corpus callosum segmentation in large-scale studies,/pt/publicacao/178530/a-framework-for-quality-control-of-corpus-callosum-segmentat/,6,MAR 15 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Epilepsies associated with hippocampal sclerosis,/pt/publicacao/97691/epilepsies-associated-with-hippocampal-sclerosis/,5,JUL 2014,56,2014
/pt/pesquisador/890/fernando-cendes/,"Interactions between in vivo neuronal-glial markers, side of hippocampal sclerosis, and pharmacoresponse in temporal lobe epilepsy",/pt/publicacao/179171/interactions-between-in-vivo-neuronal-glial-markers-side-of/,8,APR 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Anxiety and depression symptoms disrupt resting state connectivity in patients with genetic generalized epilepsies,/pt/publicacao/164071/anxiety-and-depression-symptoms-disrupt-resting-state-connec/,10,APR 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Evidence of memory impairment in asymptomatic individuals with hippocampal atrophy,/pt/publicacao/49982/evidence-memory-impairment-asymptomatic-individuals/,5,2004,0,2004
/pt/pesquisador/890/fernando-cendes/,Early development destructive brain lesions and their relationship to epilepsy and hippocampal damage,/pt/publicacao/50111/early-development-destructive-brain-lesions/,7,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Investigation of anisotropic fishing line-based phantom as tool in quality control of diffusion tensor imaging,/pt/publicacao/166741/investigation-of-anisotropic-fishing-line-based-phantom-as-t/,3,JUN 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,"Circadian phenotype impacts the brain's resting-state functional connectivity, attentional performance, and sleepiness",/pt/publicacao/166830/circadian-phenotype-impacts-the-brains-resting-state-functi/,5,MAY 2019,7,2019
/pt/pesquisador/890/fernando-cendes/,Transcranial Optical Monitoring of Cerebral Hemodynamics in Acute Stroke Patients during Mechanical Thrombectomy,/pt/publicacao/167074/transcranial-optical-monitoring-of-cerebral-hemodynamics-in/,10,JUN 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Convolutional neural networks for skull-stripping in brain MR imaging using silver standard masks,/pt/publicacao/171911/convolutional-neural-networks-for-skull-stripping-in-brain-m/,5,JUL 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,Lessons from precision medicine in rheumatology,/pt/publicacao/175598/lessons-from-precision-medicine-in-rheumatology/,4,JAN 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Systemic Inflammation and Multimodal Biomarkers in Amnestic Mild Cognitive Impairment and Alzheimer's Disease,/pt/publicacao/147747/systemic-inflammation-and-multimodal-biomarkers-in-amnestic/,10,JUL 2018,5,2018
/pt/pesquisador/890/fernando-cendes/,ATP Synthase Subunit Beta Immunostaining is Reduced in the Sclerotic Hippocampus of Epilepsy Patients,/pt/publicacao/156877/atp-synthase-subunit-beta-immunostaining-is-reduced-in-the-s/,10,JAN 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,Neurocysticercosis and Hippocampal Atrophy: MRI Findings and the Evolution of Viable or Calcified Cysts in Patients With Neurocysticercosis,/pt/publicacao/165259/neurocysticercosis-and-hippocampal-atrophy-mri-findings-and/,3,APR 30 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Long-term postoperative-atrophy of contralateral hippocampus and cognitive function in unilateral refractory MTLE with unilateral hippocampal sclerosis,/pt/publicacao/98772/long-term-postoperative-atrophy-of-contralateral-hippocampus/,8,JUL 2014,6,2014
/pt/pesquisador/890/fernando-cendes/,Voxel-based morphometry and intellectual assessment in patients with congenital bilateral perisylvian syndrome,/pt/publicacao/98784/voxel-based-morphometry-and-intellectual-assessment-in-patie/,9,JUL 2014,2,2014
/pt/pesquisador/890/fernando-cendes/,"Volumetric Brain Changes in Thalamus, Corpus Callosum and Medial Temporal Structures: Mild Alzheimer's Disease Compared with Amnestic Mild Cognitive Impairment",/pt/publicacao/63757/volumetric-brain-changes-in-thalamus-corpus-callosum-and-med/,7,2012,15,2012
/pt/pesquisador/890/fernando-cendes/,"The Machado-Joseph disease-associated expanded form of ataxin-3: Overexpression, purification, and preliminary biophysical and structural characterization",/pt/publicacao/151944/the-machado-joseph-disease-associated-expanded-form-of-ataxi/,7,DEC 2018,2,2018
/pt/pesquisador/890/fernando-cendes/,MicroRNA hsa-miR-134 is a circulating biomarker for mesial temporal lobe epilepsy,/pt/publicacao/130423/microrna-hsa-mir-134-is-a-circulating-biomarker-for-mesial-t/,10,APR 6 2017,11,2017
/pt/pesquisador/890/fernando-cendes/,Depression and anxiety symptoms are associated to disruption of default mode network in subacute ischemic stroke,/pt/publicacao/141368/depression-and-anxiety-symptoms-are-associated-to-disruption/,6,DEC 2017,11,2017
/pt/pesquisador/890/fernando-cendes/,Large-Scale Brain Networks Are Distinctly Affected in Right and Left Mesial Temporal Lobe Epilepsy,/pt/publicacao/123661/large-scale-brain-networks-are-distinctly-affected-in-right/,5,SEP 2016,26,2016
/pt/pesquisador/890/fernando-cendes/,Normative values of the Brief Repeatable Battery of Neuropsychological Tests in a Brazilian population sample: discrete and regression-based norms,/pt/publicacao/145637/normative-values-of-the-brief-repeatable-battery-of-neuropsy/,10,MAR 2018,1,2018
/pt/pesquisador/890/fernando-cendes/,Phantoms for diffusion-weighted imaging and diffusion tensor imaging quality control: a review and new perspectives,/pt/publicacao/133065//,3,Jun. 2017,0,2017
/pt/pesquisador/890/fernando-cendes/,Level of physical activity and aerobic capacity associate with quality of life in patients with temporal lobe epilepsy,/pt/publicacao/133510/level-of-physical-activity-and-aerobic-capacity-associate-wi/,6,JUL 19 2017,4,2017
/pt/pesquisador/890/fernando-cendes/,A spring to summer shift of pro-inflammatory cytokine production in multiple sclerosis patients,/pt/publicacao/115917/a-spring-to-summer-shift-of-pro-inflammatory-cytokine-produc/,6,JAN 15 2016,3,2016
/pt/pesquisador/890/fernando-cendes/,Amygdala enlargement in patients with mesial temporal lobe epilepsy without hippocampal sclerosis,/pt/publicacao/116123/amygdala-enlargement-in-patients-with-mesial-temporal-lobe-e/,5,2013,21,2013
/pt/pesquisador/890/fernando-cendes/,Major Depressive Disorder Associated With Reduced Cortical Thickness in Women With Temporal Lobe Epilepsy,/pt/publicacao/175911/major-depressive-disorder-associated-with-reduced-cortical-t/,8,JAN 17 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Hippocampal atrophy and T2-weighted signal changes in familial mesial temporal lobe epilepsy,/pt/publicacao/48346/hippocampal-atrophy-t2-weighted-signal/,8,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Outcome of surgical treatment in familial mesial temporal lobe epilepsy,/pt/publicacao/48350/outcome-surgical-treatment-familial-mesial/,10,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Auditory processing disorder in perisylvian syndrome,/pt/publicacao/33880/auditory-processing-disorder-in-perisylvian-syndrome/,7,APR 2010,16,2010
/pt/pesquisador/890/fernando-cendes/,Relationship between environmental factors and gray matter atrophy in refractory MTLE,/pt/publicacao/34027/relationship-between-environmental-factors-and-gray-matter-a/,10,MAR 30 2010,15,2010
/pt/pesquisador/890/fernando-cendes/,Dynamic changes in white and gray matter volume are associated with outcome of surgical treatment in temporal lobe epilepsy,/pt/publicacao/34103/dynamic-changes-in-white-and-gray-matter-volume-are-associat/,10,JAN 1 2010,36,2010
/pt/pesquisador/890/fernando-cendes/,Structural signature of SCA3: From presymptomatic to late disease stages,/pt/publicacao/151928/structural-signature-of-sca3-from-presymptomatic-to-late-di/,8,SEP 2018,8,2018
/pt/pesquisador/890/fernando-cendes/,Automated Online Quantification Method for F-18-FDG Positron Emission Tomography/CT Improves Detection of the Epileptogenic Zone in Patients with Pharmacoresistant Epilepsy,/pt/publicacao/134821/automated-online-quantification-method-for-f-18-fdg-positron/,8,SEP 1 2017,4,2017
/pt/pesquisador/890/fernando-cendes/,Sulfasalazine intensifies temozolomide cytotoxicity in human glioblastoma cells,/pt/publicacao/121507/sulfasalazine-intensifies-temozolomide-cytotoxicity-in-human/,7,JUL 2016,6,2016
/pt/pesquisador/890/fernando-cendes/,Laterization of epileptiform discharges in patients with epilepsy and precocious destructive brain insults,/pt/publicacao/158401//,8,Mar. 2004,0,2004
/pt/pesquisador/890/fernando-cendes/,Dysregulation of NEUROG2 plays a key role in focal cortical dysplasia,/pt/publicacao/142649/dysregulation-of-neurog2-plays-a-key-role-in-focal-cortical/,10,MAR 2018,4,2018
/pt/pesquisador/890/fernando-cendes/,"An open, multi-vendor, multi-field-strength brain MR dataset and analysis of publicly available skull stripping methods agreement",/pt/publicacao/143342/an-open-multi-vendor-multi-field-strength-brain-mr-dataset/,9,APR 15 2018,8,2018
/pt/pesquisador/890/fernando-cendes/,Normal cerebral cortical thickness in first-degree relatives of temporal lobe epilepsy patients,/pt/publicacao/163612/normal-cerebral-cortical-thickness-in-first-degree-relatives/,10,JAN 22 2019,2,2019
/pt/pesquisador/890/fernando-cendes/,Distinct functional and structural MRI abnormalities in mesial temporal lobe epilepsy with and without hippocampal sclerosis,/pt/publicacao/100709/distinct-functional-and-structural-mri-abnormalities-in-mesi/,6,AUG 2014,16,2014
/pt/pesquisador/890/fernando-cendes/,Atrophy of reward-related striatal structures in fatigued MS patients is independent of physical disability,/pt/publicacao/119146/atrophy-of-reward-related-striatal-structures-in-fatigued-ms/,3,MAY 2016,13,2016
/pt/pesquisador/890/fernando-cendes/,The association between periodontal disease and seizure severity in refractory epilepsy patients,/pt/publicacao/91695/the-association-between-periodontal-disease-and-seizure-seve/,7,MAR 2014,6,2014
