Pesquisador_link,Title,Authors,Number_authors,Date,Citations,Year
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Oral shedding of human herpesviruses in patients undergoing radiotherapy/chemotherapy treatment for head and neck squamous cell carcinoma,"PALMIERI, MICHELLE##DE OLIVEIRA MARTINS, VICTOR ADRIANO##SUMITA, LAURA MASAMI##TOZETTO-MENDOZA, TANIA REGINA##ROMANO, BRUNA BARALDI##MACHADO, CLARISSE MARTINS##PANNUTI, CLAUDIO SERGIO##BRANDAO, THAIS BIANCA##PRADO RIBEIRO, ANA CAROLINA##CORREA, LUCIANA",10,SEP 2017,2,2017
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Inflammatory profile of chronic apical periodontitis: a literature review,"BRAZ-SILVA, PAULO HENRIQUE##BERGAMINI, MARIANA LOBO##MARDEGAN, ANDRESSA PINTO##DE ROSA, CATHARINA SIMIONI##HASSEUS, BENGT##JONASSON, PETER",6,APR 3 2019,3,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,"No detectable human herpesvirus-8 oral shedding in seronegative-healthy, immunocompetent individuals from non-endemic regions for Kaposi's sarcoma: A pilot study","TOZETTO-MENDOZA, TANIA R.##SUMITA, LAURA M.##PALMIERI, MICHELLE##ORNAGHI, MARIANA##DO CANTO, ALAN M.##BRAZ-SILVA, PAULO H.",6,FEB 2018,2,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Oral shedding at human herpesviruses in patients undergoing radiotherapy/chemotherapy for head and neck squamous cell carcinoma is not affected by xerostomia,"PALMIERI, MICHELLE##ORNAGHI, MARIANA##DE OLIVEIRA MARTINS, VICTOR ADRIANO##CORREA, LUCIANA##BRANDAO, THAIS BIANCA##DO PRADO RIBEIRO, ANA CAROLINA##SUMITA, LAURA MASAMI##TOZETTO-MENDOZA, TANIA REGINA##PANNUTI, CLAUDIO SERGIO##BRAZ-SILVA, PAULO HENRIQUE",10,MAY 28 2018,1,2018
/pt/pesquisador/890/fernando-cendes/,Refractory epilepsy is highly associated with severe dentoalveolar and maxillofacial injuries,"COSTA, ANDRE LUIZ F.##YASUDA, CLARISSA LIN##FRANCA, JR., MARCONDES C.##MORITA, MARCIA ELISABETE##CENDES, FERNANDO",5,MAR 2011,6,2011
/pt/pesquisador/890/fernando-cendes/,Texture analysis of hippocampal sclerosis,BONILHA‚ L.##KOBAYASHI‚ E.##CASTELLANO‚ G.##COELHO‚ G.##TINOIS‚ E.##CENDES‚ F.##LI‚ L.M.,7,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Thalamic dysfunction in juvenile myoclonic epilepsy: a proton MRS study,MORY‚ S.B.##LI‚ L.M.##GUERREIRO‚ C.A.M.##CENDES‚ F.,4,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Developmental language disorder associated with polymicrogyria,GUERREIRO‚ MM##HAGE‚ SRV##GUIMARÃES‚ CA##ABRAMIDES‚ DV##FERNANDES‚ W.##PACHECO‚ PS##PIOVESANA‚ A.##MONTENEGRO‚ MA##CENDES‚ F.,9,2002,0,2002
/pt/pesquisador/890/fernando-cendes/,Voxel-based morphometry and epilepsy,"YASUDA, CLARISSA LIN##BETTING, LUIZ EDUARDO##CENDES, FERNANDO",3,JUN 2010,23,2010
/pt/pesquisador/890/fernando-cendes/,Comparison of conventional MRI and 3D reconstruction model for evaluation of temporomandibular joint,"COSTA, ANDRE L. F.##YASUDA, CLARISSA LIN##APPENZELLER, SIMONE##LOPES, SERGIO L. P. C.##CENDES, FERNANDO",5,NOV 2008,15,2008
/pt/pesquisador/890/fernando-cendes/,Hyperspectral Data Classification Using Extended Extinction Profiles,"GHAMISI, PEDRAM##SOUZA, ROBERTO##BENEDIKTSSON, JON ATLI##RITTNER, LETICIA##LOTUFO, ROBERTO##ZHU, XIAO XIANG",6,NOV 2016,26,2016
/pt/pesquisador/890/fernando-cendes/,MicroRNA hsa-miR-134 is a circulating biomarker for mesial temporal lobe epilepsy,"AVANSINI, SIMONI H.##DE SOUSA LIMA, BEATRIZ PEREIRA##SECOLIN, RODRIGO##SANTOS, MARILZA L.##COAN, ANA CAROLINA##VIEIRA, ANDRE S.##TORRES, FABIO R.##CARVALHO, BENILTON S.##ALVIM, MARINA K. M.##MORITA, MARCIA E.",10,APR 6 2017,11,2017
/pt/pesquisador/890/fernando-cendes/,Association between hemodynamic activity and motor performance in six-month-old full-term and preterm infants: a functional near-infrared spectroscopy study,"DE OLIVEIRA, SUELEN ROSA##CABRAL DE PAULA MACHADO, ANA CAROLINA##DE PAULA, JONAS JARDIM##PAIVA DE MORAES, PAULO HENRIQUE##SILVERIO NAHIN, MARIA JULIANA##MAGALHAES, LIVIA DE CASTRO##NOVI, SERGIO L.##MESQUITA, RICKSON C.##DE MIRANDA, DEBORA MARQUES##FERRAREZ BOUZADA, MARIA CANDIDA",10,JAN-MAR 2018,1,2018
/pt/pesquisador/890/fernando-cendes/,Default Mode Network Disruption in Stroke-Free Patients with Atrial Fibrillation,"SILVA, DANILO S.##AVELAR, WAGNER M.##DE CAMPOS, BRUNNO M.##LINO, ANA PAULA B. L.##BALTHAZAR, MARCIO L. F.##FIGUEIREDO, MARCIO J. O.##CENDES, FERNANDO##COAN, ANA CAROLINA",8,2018,2,2018
/pt/pesquisador/890/fernando-cendes/,Etiology-based classification of brain white matter hyperintensity on magnetic resonance imaging,"LEITE, MARIANA##RITTNER, LETICIA##APPENZELLER, SIMONE##RUOCCO, HELOISA HELENA##LOTUFO, ROBERTO",5,JAN-MAR 2015,9,2015
/pt/pesquisador/890/fernando-cendes/,Lithium carbonate and coenzyme Q10 reduce cell death in a cell model of Machado-Joseph disease,"LOPES-RAMOS, C. M.##PEREIRA, T. C.##DOGINI, D. B.##GILIOLI, R.##LOPES-CENDES, I.",5,2016,2,2016
/pt/pesquisador/890/fernando-cendes/,Modified Beer-Lambert law for blood flow,"BAKER, WESLEY B.##PARTHASARATHY, ASHWIN B.##BUSCH, DAVID R.##MESQUITA, RICKSON C.##GREENBERG, JOEL H.##YODH, A. G.",6,NOV 1 2014,48,2014
/pt/pesquisador/890/fernando-cendes/,3T MRI Quantification of Hippocampal Volume and Signal in Mesial Temporal Lobe Epilepsy Improves Detection of Hippocampal Sclerosis,"COAN, A. C.##KUBOTA, B.##BERGO, F. P. G.##CAMPOS, B. M.##CENDES, F.",5,JAN 2014,61,2014
/pt/pesquisador/890/fernando-cendes/,Investigation of NAA and NAAG dynamics underlying visual stimulation using MEGA-PRESS in a functional MRS experiment,"LANDIM, RICARDO C. G.##EDDEN, RICHARD A. E.##FOERSTER, BERND##LI, LI MIN##COVOLAN, ROBERTO J. M.##CASTELLANO, GABRIELA",6,APR 2016,14,2016
/pt/pesquisador/890/fernando-cendes/,Indomethacin treatment prior to pentylenetetrazole-induced seizures downregulates the expression of il1b and cox2 and decreases seizure-like behavior in zebrafish larvae,"BARBALHO, PATRICIA GONCALVES##LOPES-CENDES, ISCIA##MAURER-MORELLI, CLAUDIA VIANNA",3,MAR 9 2016,6,2016
/pt/pesquisador/890/fernando-cendes/,Pattern of Reduced Functional Connectivity and Structural Abnormalities in Parkinson's Disease: An Exploratory Study,"GUIMARAES, RACHEL PAES##ARCI SANTOS, MARIA CRISTINA##DAGHER, ALAIN##CAMPOS, LIDIANE SOARES##AZEVEDO, PAULA##PIOVESANA, LUIZA GONZAGA##DE CAMPOS, BRUNNO MACHADO##LARCHER, KEVIN##ZEIGHAMI, YASHAR##SCARPARO AMATO-FILHO, AUGUSTO C.",10,JAN 13 2017,6,2017
/pt/pesquisador/890/fernando-cendes/,Channel capacity in brain-computer interfaces,"DA SILVA COSTA, THIAGO BULHOES##SUAREZ URIBE, LUISA FERNANDA##DE CARVALHO, SARAH NEGREIROS##SORIANO, DIOGO COUTINHO##CASTELLANO, GABRIELA##SUYAMA, RICARDO##ATTUX, ROMIS##PANAZIO, CRISTIANO",8,FEB 2020,1,2020
/pt/pesquisador/890/fernando-cendes/,Cognitive trajectories in relapsing-remitting multiple sclerosis: A longitudinal 6-year study,"DAMASCENO, ALFREDO##PIMENTEL-SILVA, LUCIANA RAMALHO##DAMASCENO, BENITO PEREIRA##CENDES, FERNANDO",4,OCT 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Neuropsychological and neuroimaging evidences of cerebral dysfunction in stroke-free patients with atrial fibrillation: A review,"SILVA, D. S.##COAN, A. C.##AVELAR, W. M.",3,APR 15 2019,2,2019
/pt/pesquisador/890/fernando-cendes/,"An open, multi-vendor, multi-field-strength brain MR dataset and analysis of publicly available skull stripping methods agreement","SOUZA, ROBERTO##LUCENA, OESLLE##GARRAFA, JULIA##GOBBI, DAVID##SALUZZI, MARINA##APPENZELLER, SIMONE##RITTNER, LETICIA##FRAYNE, RICHARD##LOTUFO, ROBERTO",9,APR 15 2018,8,2018
/pt/pesquisador/890/fernando-cendes/,Multimodal Analysis of SCN1A Missense Variants Improves Interpretation of Clinically Relevant Variants in Dravet Syndrome,"GONSALES, MARINA C.##MONTENEGRO, MARIA AUGUSTA##PRETO, PAULA##GUERREIRO, MARILISA M.##COAN, ANA CAROLINA##QUAST, MONICA PAIVA##CARVALHO, BENILTON S.##LOPES-CENDES, ISCIA",8,MAR 28 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,Hippocampal atrophy disrupts the language network but not hemispheric language lateralization,"LOPES, TATILA MARTINS##DE CAMPOS, BRUNNO MACHADO##ZANAO, TAMIRES ARAUJO##BALTHAZAR, MARCIO L. F.##YASUDA, CLARISSA LIN##CENDES, FERNANDO",6,APR 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Clinical and MRI correlates of CSF neurofilament light chain levels in relapsing and progressive MS,"DAMASCENO, ALFREDO##DIAS-CARNEIRO, RAFAEL PATERNO C.##MORAES, ADRIEL SANTOS##BOLDRINI, VINICIUS O.##QUINTILIANO, RAPHAEL PATRICIO S.##DE PAULA GALDINO DA SILVA, VERONICA ALMEIDA##FARIAS, ALESSANDRO S.##BRANDAO, CARLOS OTAVIO##DAMASCENO, BENITO PEREIRA##BARBOSA DOS SANTOS, LEONILDA MARIA",10,MAY 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,Characteristics of sulfasalazine-induced cytotoxicity in C6 rat glioma cells,"IGNARRO, RAFFAELA SILVESTRE##FACCHINI, GUSTAVO##DE MELO, DANIELA RODRIGUES##PELIZZARO-ROCHA, KARIN JULIANE##FERREIRA, CARMEN VERISSIMA##CASTILHO, ROGER FRIGERIO##ROGERIO, FABIO",7,JAN 18 2017,3,2017
/pt/pesquisador/890/fernando-cendes/,MRI Texture Analysis Reveals Bulbar Abnormalities in Friedreich Ataxia,"SANTOS, T. A.##MAISTRO, C. E. B.##SILVA, C. B.##OLIVEIRA, M. S.##FRANCA, JR., M. C.##CASTELLANO, G.",6,DEC 2015,4,2015
/pt/pesquisador/890/fernando-cendes/,MRI Texture Analysis Reveals Deep Gray Nuclei Damage in Amyotrophic Lateral Sclerosis,"DE ALBUQUERQUE, MILENA##ANJOS, LARA G. V.##TAVARES DE ANDRADE, HELEN MAIA##DE OLIVEIRA, MARCIA S.##CASTELLANO, GABRIELA##RIBEIRO DE REZENDE, THIAGO JUNQUEIRA##NUCCI, ANAMARLI##FRANCA JUNIOR, MARCONDES CAVALCANTE",8,MAR-APR 2016,14,2016
/pt/pesquisador/890/fernando-cendes/,Comparison of auditory event-related potentials between children with benign childhood epilepsy with centrotemporal spikes and children with temporal lobe epilepsy,"CASALI, RAQUEL LEME##RAMOS DO AMARAL, MARIA ISABEL##BOSCARIOL, MIRELA##LUNARDI, LUCIANE LORENCETTI##GUERREIRO, MARILISA MANTOVANI##MATAS, CARLA GENTILE##COLELLA-SANTOS, MARIA FRANCISCA",7,JUN 2016,3,2016
/pt/pesquisador/890/fernando-cendes/,EEG-fMRI in the presurgical evaluation of temporal lobe epilepsy,"COAN, ANA C.##CHAUDHARY, UMAIR J.##GROUILLER, FREDERIC##CAMPOS, BRUNNO M.##PERANI, SUEJEN##DE CIANTIS, ALESSIO##VULLIEMOZ, SERGE##DIEHL, BEATE##BELTRAMINI, GUILHERME C.##CARMICHAEL, DAVID W.",10,JUN 2016,7,2016
/pt/pesquisador/890/fernando-cendes/,Conditional Lyapunov exponents and transfer entropy in coupled bursting neurons under excitation and coupling mismatch,"SORIANO, DIOGO C.##DOS SANTOS, ODAIR V.##SUYAMA, RICARDO##FAZANARO, FILIPE I.##ATTUX, ROMIS",5,MAR 2018,1,2018
/pt/pesquisador/890/fernando-cendes/,Is inpatient ictal video-electroencephalographic monitoring mandatory in mesial temporal lobe epilepsy with unilateral hippocampal sclerosis? A prospective study,"ALVIM, MARINA K. M.##MORITA, MARCIA E.##YASUDA, CLARISSA L.##DAMASCENO, BENITO P.##LOPES, TATILA M.##COAN, ANA CAROLINA##GHIZONI, ENRICO##TEDESCHI, HELDER##CENDES, FERNANDO",9,FEB 2018,6,2018
/pt/pesquisador/890/fernando-cendes/,Potential for stem cell treatment in manganism,"DE MOURA, THATIANE C.##AFADLAL, SZEIFOUL##HAZELL, ALAN S.",3,JAN 2018,1,2018
/pt/pesquisador/890/fernando-cendes/,"The Machado-Joseph disease-associated expanded form of ataxin-3: Overexpression, purification, and preliminary biophysical and structural characterization","CONTESSOTTO, MIRIAM G. G.##ROSSELLI-MURAI, LUCIANA K.##GARCIA, MARIA CRISTINA C.##OLIVEIRA, CRISTIANO L. P.##TORRIANI, IRIS L.##LOPES-CENDES, ISCIA##MURAI, MARCELO J.",7,DEC 2018,2,2018
/pt/pesquisador/890/fernando-cendes/,Autonomic dysfunction in hereditary spastic paraplegia type 4,"GONZALEZ-SALAZAR, C.##TAKAZAKI, K. A. G.##MARTINEZ, A. R. M.##PIMENTEL-SILVA, L. R.##JACINTO-SCUDEIRO, L. A.##NAKAGAWA, E. Y.##MURAKAMI, C. E. FUJIWARA##SAUTE, J. A. M.##PEDROSO, J. L.##BARSOTTINI, O. G. P.",10,APR 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,iamxt: Max-tree toolbox for image processing and analysis,"SOUZA, ROBERTO##RITTNER, LETICIA##MACHADO, RUBENS##LOTUFO, ROBERTO",4,2017,0,2017
/pt/pesquisador/890/fernando-cendes/,Space-time recurrences for functional connectivity evaluation and feature extraction in motor imagery brain-computer interfaces,"RODRIGUES, PAULA G.##STEFANO FILHO, CARLOS A.##ATTUX, ROMIS##CASTELLANO, GABRIELA##SORIANO, DIOGO C.",5,AUG 2019,1,2019
/pt/pesquisador/890/fernando-cendes/,Toward a Multimodal Diagnostic Exploratory Visualization of Focal Cortical Dysplasia,"WU, SHIN-TING##VOLTOLINE, RAPHAEL##LOOS, WALLACE##IVAN RUBIANES SILVA, J. A.##WATANABE, LIONIS##AMORIM, BARBARA##COAN, ANA##CENDES, FERNANDO##YASUDA, CLARISSA L.",9,MAY-JUN 2018,0,2018
/pt/pesquisador/890/fernando-cendes/,Olfactory function in systemic lupus erythematosus and systemic sclerosis. A longitudinal study and review of the literature,"BOMBINI, MARIANA FRESCHI##PERES, FERNANDO AUGUSTO##LAPA, ALINE TAMIRES##SINICATO, NAILU ANGELICA##QUENTAL, BEATRIZ RICATO##MELO PINCELLI, AGATHA DE SOUZA##AMARAL, TIAGO NARDI##GOMES, CAROLINE CRISTINA##DEL RIO, ANA PAULA##MARQUES-NETO, JOAO FRANCISCO",10,APR 2018,3,2018
/pt/pesquisador/890/fernando-cendes/,Cyclooxygenase-1 as a Potential Therapeutic Target for Seizure Suppression: Evidences from Zebrafish Pentylenetetrazole-Seizure Model,"BARBALHO, PATRCIA GONCALVES##CARVALHO, BENILTON DE SA##LOPES-CENDES, ISCIA##MAURER-MORELLI, CLAUDIA VIANNA",4,NOV 15 2016,7,2016
/pt/pesquisador/890/fernando-cendes/,Cerebral Regulation in Different Maximal Aerobic Exercise Modes,"PIRES, FLAVIO O.##DOS ANJOS, CARLOS A. S.##COVOLAN, ROBERTO J. M.##PINHEIRO, FABIANO A.##GIBSON, ALAN ST CLAIR##NOAKES, TIMOTHY D.##MAGALHAESI, FERNANDO H.##UGRINOWITSCH, CARLOS",8,JUL 5 2016,5,2016
/pt/pesquisador/890/fernando-cendes/,Resting state connectivity patterns with near-infrared spectroscopy data of the whole head,"NOVI, SERGIO L.##RODRIGUES, RENATO B. M. L.##MESQUITA, RICKSON C.",3,JUL 1 2016,7,2016
/pt/pesquisador/890/fernando-cendes/,Effects of task complexity on activation of language areas in a semantic decision fMRI protocol,"LOPES, TATILA MARTINS##YASUDA, CLARISSA LIN##DE CAMPOS, BRUNNO MACHADO##BALTHAZAR, MARCIO L. F.##BINDER, JEFFREY R.##CENDES, FERNANDO",6,JAN 29 2016,8,2016
/pt/pesquisador/890/fernando-cendes/,Atrophy of reward-related striatal structures in fatigued MS patients is independent of physical disability,"DAMASCENO, ALFREDO##DAMASCENO, BENITO PEREIRA##CENDES, FERNANDO",3,MAY 2016,13,2016
/pt/pesquisador/890/fernando-cendes/,Genome-wide association study identifies genetic factors that modify age at onset in Machado-Joseph disease,"AKCIMEN, FULYA##MARTINS, SANDRA##LIAO, CALWING##BOURASSA, V, CYNTHIA##CATOIRE, HELENE##NICHOLSON, GARTH A.##RIESS, OLAF##RAPOSO, MAFALDA##FRANCA, MARCONDES C.##VASCONCELOS, JOAO",10,MAR 31 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Methodological differences can affect sequencing depth with a possible impact on the accuracy of genetic diagnosis,MURILO G. BORGES##CRISTIANE S. ROCHA##BENILTON S. CARVALHO##ISCIA LOPES-CENDES,4,2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Clinical Usefulness of SISCOM-SPM Compared to Visual Analysis to Locate the Epileptogenic Zone,"OLIVEIRA YOUNG, CARLA##ETCHBEHERE, ELBA C. S. C.##SOUZA, EDNA MARINA##BRUNETTO, SERGIO QUERINO##SANTOS, ALLAN DE OLIVEIRA##LIMA, MARIANA C. L.##ORTIZ-DE LA ROSA, SEBASTIAN##ALVIM, MARINA##YASUDA, CLARISSA LIN##RAMOS, CELSO DARIO",10,MAY 29 2020,0,2020
/pt/pesquisador/890/fernando-cendes/,Cognitive Reserve Relates to Functional Network Efficiency in Alzheimer's Disease,"WEILER, MARINA##CASSEB, RAPHAEL FERNANDES##DE CAMPOS, BRUNNO MACHADO##DE LIGO TEIXEIRA, CAMILA VIEIRA##MAC KNIGHT CARLETTI-CASSANI, ANA FLAVIA##VICENTINI, JESSICA ELIAS##CARDOSO MAGALHAES, THAMIRES NAELA##DE ALMEIRA, DEBORA QUEIROZ##TALIB, LEDA LEME##FORLENZA, ORESTES VICENTE",10,AUG 21 2018,2,2018
/pt/pesquisador/890/fernando-cendes/,Is Diffusion Tensor Imaging a Good Biomarker for Early Parkinson's Disease?,"GUIMARAES, RACHEL P.##CAMPOS, BRUNNO M.##DE REZENDE, THIAGO J.##PIOVESANA, LUIZA##AZEVEDO, PAULA C.##AMATO-FILHO, AUGUSTO C.##CENDES, FERNANDO##D'ABREU, ANELYSSA",8,AUG 21 2018,4,2018
/pt/pesquisador/890/fernando-cendes/,Brain Connectivity and Functional Recovery in Patients With Ischemic Stroke,"MEIRA ALMEIDA, SARA REGINA##VICENTINI, JESSICA##BONILHA, LEONARDO##DE CAMPOS, BRUNNO M.##CASSEB, RAPHAEL F.##MIN, LI LI",6,JAN-FEB 2017,9,2017
/pt/pesquisador/890/fernando-cendes/,Toxic effects of phytol and retinol on human glioblastoma cells are associated with modulation of cholesterol and fatty acid biosynthetic pathways,"FACCHINI, GUSTAVO##IGNARRO, RAFFAELA SILVESTRE##RODRIGUES-SILVA, ERIKA##VIEIRA, ANDRE SCHWAMBACH##LOPES-CENDES, ISCIA##CASTILHO, ROGER FRIGERIO##ROGERIO, FABIO",7,FEB 2018,4,2018
/pt/pesquisador/890/fernando-cendes/,Computational methods for corpus callosum segmentation on MRI: A systematic literature review,"COVER, G. S.##HERRERA, W. G.##BENTO, M. P.##APPENZELLER, S.##RITTNER, L.",5,FEB 2018,5,2018
/pt/pesquisador/890/fernando-cendes/,Is cerebral microbleed prevalence relevant as a biomarker in amnestic mild cognitive impairment and mild Alzheimer's disease?,"RABELO, ANA G. B.##TEIXEIRA, CAMILA V. L.##MAGALHAES, THAMIRES N. C.##CARLETTI-CASSANI, ANA FLAVIA M. K.##AMATO FILHO, AUGUSTO C. S.##JOAQUIM, HELENA P. G.##TALIB, LEDA L.##FORLENZA, ORESTES##RIBEIRO, PATRICIA A. O.##SECOLIN, RODRIGO",10,OCT 2017,2,2017
/pt/pesquisador/890/fernando-cendes/,Structural signature of classical versus late-onset friedreich's ataxia by Multimodality brain MRI,"REZENDE, THIAGO JUNQUEIRA R.##MARTINEZ, ALBERTO ROLIM M.##FABER, INGRID##GIROTTO, KAREN##PEDROSO, JOSE LUIZ##BARSOTTINI, ORLANDO G.##LOPES-CENDES, ISCIA##CENDES, FERNANDO##FARIA, ANDREIA V.##FRANCA, MARCONDES C.",10,AUG 2017,4,2017
/pt/pesquisador/890/fernando-cendes/,Concurrent mood and anxiety disorders are associated with pharmacoresistant seizures in patients with MTLE,"NOGUEIRA, MATEUS H.##YASUDA, CLARISSA L.##COAN, ANA C.##KANNER, ANDRES M.##CENDES, FERNANDO",5,JUL 2017,20,2017
/pt/pesquisador/890/fernando-cendes/,Electrical Stimulation During Gait Promotes Increase of Muscle Cross-sectional Area in Quadriplegics: A Preliminary Study,"CARVALHO DE ABREU, DANIELA CRISTINA##CLIQUET, JR., ALBERTO##RONDINA, JANE MARYAN##CENDES, FERNANDO",4,FEB 2009,16,2009
/pt/pesquisador/890/fernando-cendes/,NAA and NAAG variation in neuronal activation during visual stimulation,"CASTELLANO, G.##DIAS, C. S. B.##FOERSTER, B.##LI, L. M.##COVOLAN, R. J. M.",5,NOV 2012,11,2012
/pt/pesquisador/890/fernando-cendes/,Brain plasticity for verbal and visual memories in patients with mesial temporal lobe epilepsy and hippocampal sclerosis: An fMRI study,"ALESSIO, ANDREA##PEREIRA, FABRICIO R. S.##SERCHELI, MAURICIO S.##RONDINA, JANE M.##OZELO, HELKA B.##BILEVICIUS, ELISABETH##PEDRO, TATIANE##COVOLAN, ROBERTO J. M.##DAMASCENO, BENITO P.##CENDES, FERNANDO",10,JAN 2013,32,2013
/pt/pesquisador/890/fernando-cendes/,MRI and EEG as long-term seizure outcome predictors in familial mesial temporal lobe epilepsy,"MORITA, MARCIA E.##YASUDA, CLARISSA LIN##BETTING, LUIZ E.##PACAGNELLA, DENISE##CONZ, LIVIA##BARBOSA, PATRICIA HORN##MAURER-MORELLI, CLAUDIA VIANNA##COSTA, ANDRE LUIZ F.##KOBAYASHI, ELIANE##LOPES-CENDES, ISCIA",10,DEC 2012,15,2012
